Country,ISO Code,url,GDP,Population,Population growth rate,Exports,Current account balance,Imports,Mean Elevation (m),Coastline (km),Irrigated Land (sq km),Total area,Age structure - 0-14 years Rate,Age structure - 15-64 years Rate,Age structure - 65 years and over Rate,Total dependency ratio,Youth dependency ratio,Elderly dependency ratio,Potential support ratio,Median age,Median age - male,Median age - female,Birth rate/1000 people,Death rate/1000 people,Net migration rate/1000 people,Urban Population ratio,Urban population growth rate,Sex ratio at birth(male/female),Sex ratio 0-14 years(male/female),Sex ratio 15-64 years(male/female),Sex ratio 65 years and over(male/female),Sex ratio - total population(male/female),Mother's mean age at first birth,"Maternal mortality ratio (deaths/100,000 live births)",Infant mortality rate (per 1000 live births),Infant mortality rate - male,Infant mortality rate - female,Life expectancy at birth (years),Life expectancy at birth - male,Life expectancy at birth - female,Fertility rate (children born/women),Gross reproduction rate,Contraceptive prevalence rate,Improved Drinking Access Urban,Improved Drinking Access Rural,Improved Drinking Access Total,Unimproved Drinking Access Urban,Unimproved Drinking Access Rural,Unimproved Drinking Access Total,Current health expenditure (% of GDP),Physicians density (per 1000 people),Hospital bed density (beds per 1000 people),Improved Sanitation Access Urban,Improved Sanitation Access Rural,Improved Sanitation Access Total,Unimproved Sanitation Access Urban,Unimproved Sanitation Access Rural,Unimproved Sanitation Access Total,Obesity - adult prevalence rate,Alcohol consumption per capita (liters of pure alcohol),Alcohol consumption per capita - beer (liters of pure alcohol),Alcohol consumption per capita - wind (liters of pure alcohol),Alcohol consumption per capita - spirits (liters of pure alcohol),Alcohol consumption per capita - other alcohols (liters of pure alcohol),Tobacco use rate,Tobacco use rate - male,Tobacco use rate - female,Children under 5 years underweight rate,Married women (ages 15-49) rate,Women married by age 15 rate,Women married by age 18 rate,Education expenditures (% of GDP),Literacy rate,Literacy rate - male,Literacy rate - female,School life expectancy,School life expectancy - male,School life expectancy - female,Youth unemployment rate (ages 15-24),Youth unemployment rate (ages 15-24) - male,Youth unemployment rate (ages 15-24) - female,Forest land (% of land area),Agricultural land (% of land area),Other land (% of land area),Revenue from forest resources (% of GDP),Revenue from coal (% of GDP),Particulate matter emissions (micrograms per cubic meter),Carbon dioxide emissions (megatons),Methane emissions (megatons),Annual municipal solid waste (tons),Municipal water withdrawal (cubic meters),Industrial water withdrawal (cubic meters),Agricultural water withdrawal (cubic meters),Renewable water resources (cubic meters),GDP growth rate,GDP per capita growth rate,GDP (official exchange rate),Inflation rate,GDP by sector agriculture composition,GDP by sector industry composition,GDP by sector services composition,GDP by end use household composition,GDP by end use government composition,GDP by end use fixed capital investment composition,GDP by end use inventories investment composition,GDP by end use exports composition,GDP by end use - imports composition,Industrial production growth rate,Labor force,Agriculture labor force,Industry labor force,Services labor force,Unemployment rate,Population below poverty line,Gini Index coefficient,Household income(Lowest 10%) by percentage share,Household income(Highest 10%) by percentage share,Revenues,Expenditures,Budget Balance (% of GDP),Public debt (% of GDP),Taxes and other revenues (% of GDP),Current account balance (% of GDP),Currency and gold reserves,External debt,Exchange rates to USD,Electricity access rate,Electricity access rate - rural,Electricity access rate - urban,Electricity installed capacity (kW),Electricity consumption (kWh),Electricity exports (kWh),Electricity imports (kWh),Electricity transmission losses (kWh),Electricity fossil fuel generation (% of total capacity),Electricity nuclear generation (% of total capacity),Electricity hydro generation (% of total capacity),Electricity wind generation (% of total capacity),Electricity solar generation (% of total capacity),Electricity geothermal generation (% of total capacity),Electricity tide and wave generation,Electricity biomass and waste generation (% of total capacity),Coal production (metric tons),Coal consumption (metric tons),Coal exports (metric tons),Coal imports (metric tons),Coal reserves (metric tons),Petroleum production (bbl/day),Petroleum consumption (bbl/day),Petroleum exports (bbl/day),Petroleum imports (bbl/day),Refined petroleum products production (bbl/day),Refined petroleum products exports (bbl/day),Refined petroleum products imports (bbl/day),Natural gas production (cubic meters),Natural gas consumption (cubic meters),Natural gas exports (cubic meters),Natural gas imports (cubic meters),Natural gas reserves (cubic meters),Energy: Carbon dioxide emissions (metric tonnes),Coal emissions (metric tonnes),Petroleum emissions (metric tonnes),Gas emissions (metric tonnes),Energy consumption per capita (Btu/preson),Telephone fixed line subscriptions (per 100 people),Telephone mobile subscriptions (per 100 people),Internet users/total population,Broadband fixed subscriptions (per 100 people),Registered air carriers,Inventory of registered aircraft,Annual passenger traffic on air carriers,Annual freight traffic on air carriers (mt-km),Airports,Airports with paved runways,Airports with unpaved runways,Heliports,Total Roadways (km),Paved Roadways (km),Unpaved Roadways (km),Military expenditures (% of GDP)
Egypt,EGY,https://www.cia.gov/the-world-factbook/countries/egypt/,1264000000000.0,109546720,1.59,53523000000.0,10222000000.0,78951000000.0,321.0,2450.0,36500.0,1001450.0,34.37,60.27,5.36,60.8,53.2,7.7,13,24.1,24.1,24.1,20.5,4.3,-0.3,43.1,1.9,1.06,1.06,1.06,1.03,1.06,22.6,17,17.3,18.2,16.3,74.7,73.5,76,2.76,1.34,58.5,99.7,99.7,99.7,0.3,0.3,0.3,4.4,0.75,1.4,99.9,98.2,98.9,0.1,1.8,1.1,32,0.14,0.09,0.01,0.04,0,24.3,48.1,0.4,7,71.1,nan,nan,2.5,73.1,78.8,67.4,14,14,14,24.3,15.6,59.5,0.1,3.6,96.3,0.15,nan,63.16,238.56,59.68,21000000.0,10750000000.0,5400000000.0,61350000000.0,57500000000.0,3.33,11600,323763000000.0,5.21,11.7,34.3,54,86.8,10.1,14.8,0.5,16.3,-28.5,-1.09,30179000.0,25.8,25.1,49.1,9.33,32.5,31.5,4,26.6,71160000000.0,100318000000.0,-8.6,103,17.9,-18611000000.0,39824000000.0,109238000000.0,15.645,100,nan,nan,59826000.0,149079120000 kWh,360000000.0,74000000.0,33622999999.999996,88.7,0,7.7,2.5,1,0,0,0.2,262000 metric tons,2310000.0,86000 metric tons,2134000.0,16000000.0,660800,810200,204100,117400,547500,47360,280200,64292955000 cubic meters,58176781000 cubic meters,5009100000 cubic meters,83563000.0,1783958000000 cubic meters,235137000.0,8728000.0,112281000.0,114128000.0,40063000.0,10,95,72,9,14,101,12340832,437630000.0,83,72,11,7,65050 km,48000 km,17050 km,1.2
El Salvador,SLV,https://www.cia.gov/the-world-factbook/countries/el-salvador/,57371000000.0,6602370,0.46,8057000000.0,1457000000.0,12469000000.0,442.0,307.0,274.0,21041.0,25.4,66.39,8.21,51.3,39,12.3,8.1,29.2,27.7,30.7,17.5,5.9,-7,75.4,1.33,1.05,1.05,0.9,0.75,0.92,20.8,43,11.9,13.6,10.2,75.6,72.2,79.3,2.04,0.99,71.9,99.6,94.2,98.2,0.4,5.8,1.8,9.9,2.87,1.2,100,97.1,99.2,0,2.9,0.8,24.6,2.94,1.5,0.06,1.37,0,7.9,14.1,1.7,5,55,4.3,19.7,4.1,89.1,91.3,87.3,12,12,12,13.7,11.3,18.3,13.6,74.7,11.7,0.6,0,22.15,7.17,4.71,1648996 tons,470000000.0,210000000.0,1430000000.0,26270000000.0,10.28,9100,27023000000.0,3.47,12,27.7,60.3,84.5,15.8,16.9,0,27.6,-44.9,9.47,2658000.0,21,20,58,5.94,22.8,38.8,2.2,32.3,6448000000.0,7273000000.0,-2.5,71.41,18.66,-1457000000.0,3426000000.0,17240000000.0,1,97.8,94,99.2,2586000.0,6443200000 kWh,158000000.0,1450000000.0,795800000.0,28.2,0,30,0,7.5,22.2,0,12.1,0 metric tons,1000 metric tons,0 metric tons,1000 metric tons,0 metric tons,0,59100,0,0,0,347,49280,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,7632000.0,2000 metric tonnes of CO2,7630000.0,0 metric tonnes of CO2,24124000.0,14,175,63,9,1,13,2545105,10730000.0,68,5,63,2,9012 km,5341 km,3671 km,1.2
Equatorial Guinea,GNQ,https://www.cia.gov/the-world-factbook/countries/equatorial-guinea/,23924000000.0,1737695,3.36,8776000000.0,1457000000.0,6245000000.0,577.0,296.0,,28051.0,36.05,59.01,4.94,72.2,66.7,5.4,18.5,21.9,22.5,21.3,29.5,8.9,13,74.4,3.62,1.03,1.07,1.21,1.08,1.15,nan,212,77.9,83.8,71.8,63.8,61.5,66.1,4.19,2.06,nan,81.7,32.1,67.6,18.3,67.9,32.4,3.8,0.4,nan,81.2,63.4,76.2,18.8,36.6,23.8,8,6.11,3.83,1.24,0.99,0.05,nan,nan,nan,nan,60.2,nan,nan,nan,95.3,97.4,93,nan,nan,nan,18.3,17.1,19.9,57.5,10.1,32.4,1.52,0,25.67,5.65,11.21,198443 tons,20000000.0,3000000.0,1000000.0,26000000000.0,-0.95,14600,10634000000.0,4.77,2.5,54.6,42.9,50,21.8,10.2,0.1,56.9,-39,-6.46,549800,nan,nan,nan,9.24,44,nan,nan,nan,2604000000.0,2535000000.0,-3.3,37.4,7.85,-738000000.0,40817000.0,1211000000.0,554.531,66.7,47,90.3,349000 kW,1002960000 kWh,0 kWh,0 kWh,183000000.0,89.4,0,10.6,0,0,0,0,0,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,142600,22300,184500,0,0,0,5094,4569369000 cubic meters,1080003000 cubic meters,3568030000 cubic meters,0 cubic meters,139007000000.0,4528000.0,0 metric tonnes of CO2,2409000.0,2119000.0,57596000.0,(2021,39,54,0.1,6,15,466435,350000,7,6,1,nan,2880 km,nan,nan,1.1
Eritrea,ERI,https://www.cia.gov/the-world-factbook/countries/eritrea/,9702000000.0,6274796,1.08,624300000.0,105000000.0,1127000000.0,853.0,2234.0,210.0,117600.0,36.27,59.73,4,77.9,70.8,7.1,14,21,20.5,21.5,26.7,6.6,-9.4,43.3,3.67,1.03,1.01,0.97,0.66,0.97,21.3,322,40.6,47.5,33.6,67.2,64.6,69.9,3.5,1.73,nan,73.2,53.3,57.8,26.8,46.7,42.2,4.1,0.08,0.7,44.5,7.3,15.7,55.5,92.7,84.3,5,0.93,0.42,0,0,0.51,7.5,14.7,0.2,nan,52.3,nan,nan,nan,76.6,84.4,68.9,8,8,7,14.6,13.1,16.4,15.1,75.1,9.8,nan,nan,22.74,0.71,4.48,726957 tons,30000000.0,1000000.0,550000000.0,7320000000.0,5,1600,5813000000.0,9,11.7,29.6,58.7,80.9,24.3,6.4,0.1,10.9,-22.5,5.4,1675000.0,80,20,nan,8.05,50,nan,nan,nan,633000000.0,549000000.0,-9.8,131.2,34.9,-137000000.0,191694400,792700000.0,15.075,52.5,35.7,75.6,228000 kW,394460000.0,0 kWh,0 kWh,61000000.0,93.8,0,0,0.5,5.7,0,0,0,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0,5200,0,0,0,0,3897,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,798000 metric tonnes of CO2,0 metric tonnes of CO2,798000 metric tonnes of CO2,0 metric tonnes of CO2,3217000.0,2,50,22,0.1,1,1,102729,nan,13,4,9,1,16000 km,1600 km,14400 km,10
Estonia,EST,https://www.cia.gov/the-world-factbook/countries/estonia/,51531000000.0,1202762,-0.74,22962000000.0,370205000.0,21712000000.0,61.0,3794.0,20.0,45228.0,15.56,62.27,22.17,58.3,26.1,32.3,3.1,44.7,41.5,47.9,8.5,13.1,-2.7,69.8,-0.03,1.05,1.05,1.01,0.55,0.89,28.2,5,3.4,3.3,3.5,78.1,73.5,82.9,1.62,0.79,nan,100,99.6,,0,0.4,,7.8,3.47,4.6,99.8,100,99.8,0.2,0,0.2,21.2,11.65,4,1.92,4.6,1.13,29.7,36.3,23,0.4,52.3,nan,nan,6.6,99.9,99.9,99.9,16,15,17,17.1,16.5,17.8,52.1,22.2,25.7,0.85,0,6.35,16.59,0.99,473000 tons,60000000.0,790000000.0,4500000.0,12810000000.0,8.01,38700,31461000000.0,4.65,2.8,29.2,68.1,50.3,20.4,24,2.2,77.2,-74,7.13,704700,2.7,20.5,76.8,6.33,21.7,30.8,2.3,25.6,12282000000.0,12269000000.0,-0.3,23.77,20.69,-709328000.0,2371000000.0,23944000000.0,0.845,100,nan,nan,3030000.0,9172000000.0,3722000000.0,7367000000.0,375000000.0,55.8,0,0.7,14.3,2,0,0,27.2,0 metric tons,3000 metric tons,0 metric tons,3000 metric tons,0 metric tons,21800,27500,0,0,0,27150,35520,0 cubic meters,417106000.0,0 cubic meters,417276000.0,0 cubic meters,4924000.0,44000 metric tonnes of CO2,3979000.0,901000 metric tonnes of CO2,76329000.0,22,149,91,31,3,14,31981,nan,18,13,5,1,58412 km,10427 km,47985 km,2.7
Eswatini,SWZ,https://www.cia.gov/the-world-factbook/countries/eswatini/,10560000000.0,1130043,0.72,2048000000.0,124463000.0,1924000000.0,305.0,0.0,500.0,17364.0,32.16,63.88,3.97,64,57.4,6.5,15.3,24.4,23.1,25.5,22.8,9.5,-6.1,24.8,2.42,1.03,1,0.87,0.59,0.9,nan,437,38.1,42.3,33.9,60.2,58.2,62.3,2.41,1.19,66.1,97.5,74.8,80.3,2.5,25.2,19.7,6.5,0.14,2.1,92.3,83.9,85.9,7.7,16.1,14.1,16.5,7.68,2.45,0.06,0,5.17,9.2,16.5,1.8,5.8,37.1,nan,nan,5,88.4,88.3,88.5,13,13,12,50.9,47.7,54.1,31.7,68.3,0,2.25,0.1,15.07,1.16,1.9,218199 tons,40000000.0,20000000.0,1010000000.0,4510000000.0,7.88,8900,4484000000.0,2.6,6.5,45,48.6,64,21.3,13.4,-0.1,47.9,-46.3,15.38,383500,10.7,30.4,58.9,25.76,58.9,54.6,1.7,40.1,1131000000.0,1454000000.0,-8.5,28.4,28.6,124463000.0,572281500,535000000.0,14.783,82.9,79.1,94.5,286000 kW,1448308000 kWh,0 kWh,942000000.0,154700000.0,44.1,0,24.8,0,0.2,0,0,31,108000 metric tons,169000 metric tons,163000 metric tons,135000 metric tons,144000000.0,0,6000,0,0,0,0,5279,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,1224000.0,350000 metric tonnes of CO2,875000 metric tonnes of CO2,0 metric tonnes of CO2,19371000.0,4,120,59,1,nan,,nan,nan,14,2,12,nan,3769 km,nan,nan,1.7
Ethiopia,ETH,https://www.cia.gov/the-world-factbook/countries/ethiopia/,278945000000.0,116462712,2.4,7715000000.0,5025000000.0,17170000000.000002,1330.0,0.0,1813.0,1104300.0,38.91,57.55,3.54,75.7,70.2,5.5,18.1,20.2,20,20.5,30.1,6,-0.1,23.2,4.4,1.03,1.01,0.99,0.84,0.99,19.3,267,33.9,38.8,28.8,67.1,64.9,69.4,3.92,1.93,37.7,98.5,70.2,76.4,1.5,29.8,23.6,3.5,0.11,0.3,52.5,8.1,17.7,47.5,91.9,82.3,4.5,1.16,0.92,0,0.2,0.03,5.1,8.8,1.3,21.1,67.5,14.1,40.3,4.5,51.8,57.2,44.4,9,8,8,5.7,4.4,7.2,12.2,36.3,51.5,5.81,0,21.8,14.87,114.21,6532787 tons,810000000.0,50000000.0,9690000000.0,122000000000.0,5.64,2300,92154000000.0,26.84,34.8,21.6,43.6,69.6,10,43.5,-0.1,8.1,-31.2,7.26,56664000.0,72.7,7.4,19.9,3.69,23.5,35,4.1,25.6,11308000000.0,13979000000.0,-3.2,31.45,6.2,-4507000000.0,3046000000.0,27270000000.0,43.734,54.1,42.7,94.3,4856000.0,9778100000 kWh,1000000000.0,0 kWh,3374000000.0,0,0,95.8,3.8,0.1,0,0,0.3,0 metric tons,689000 metric tons,0 metric tons,528000 metric tons,0 metric tons,0,107900,0,0,0,0,69970,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,24919000000.0,16798000.0,1474000.0,15324000.0,0 metric tonnes of CO2,3219000.0,(2021,54,17,0.2,1,75,11501244,2089280000,57,17,40,nan,120171 km,(2018),(2015),1.7
Faroe Islands,FRO,https://www.cia.gov/the-world-factbook/countries/faroe-islands/,2001000000.0,52600,0.63,1184000000.0,,978400000.0,,1117.0,,1393.0,19.9,61.94,18.16,62.8,33.6,29.1,3.4,36.8,36.8,36.8,14.9,8.6,0,43,0.89,1.07,1.07,1.12,0.94,1.08,nan,nan,5.9,6.5,5.2,81.5,79,84.2,2.28,1.1,nan,100,,,0,,,nan,2.62,4.2,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.8,nan,nan,7.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1,2.1,97.8,0,nan,nan,0.63,nan,61000 tons,nan,nan,nan,0 cubic meters,5.9,40000,2765000000.0,-0.3,18,39,43,52,29.6,18.4,nan,nan,nan,3.4,27540,15,15,70,2.2,10,22.7,nan,nan,835600000.0,883800000.0,-1.7,35,30.2,nan,nan,387600000.0,6.287,100,nan,nan,128000 kW,358640000.0,0 kWh,0 kWh,23160000.0,58.9,0,26,15.1,0,0,0,0,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0,5500,0,0,0,0,4555,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,870000 metric tonnes of CO2,0 metric tonnes of CO2,870000 metric tonnes of CO2,0 metric tonnes of CO2,0 Btu/person,29,110,97.6,38,1,3 (registered in Denmark),nan,nan,1,1,nan,nan,960 km,500 km,460 km,nan
Fiji,FJI,https://www.cia.gov/the-world-factbook/countries/fiji/,9578000000.0,947760,0.42,2636000000.0,689438000.0,3206000000.0,,1129.0,40.0,18274.0,25.17,66.31,8.52,53,44.2,8.7,11.4,31.2,31,31.5,16.3,6.4,-5.7,58.7,1.37,1.05,1.04,1.05,0.86,1.03,nan,38,9.9,11.4,8.3,74.5,71.9,77.3,2.23,1.09,35.5,98.2,89.1,94.3,1.8,10.9,5.7,3.8,0.86,2,100,100,100,0,0,0,30.2,2.71,1.64,0.29,0.79,0,23.1,35.6,10.5,4.6,58.8,0.2,4,5.7,99.1,99.1,99.1,nan,nan,nan,18.1,14.1,25.9,55.7,23.3,21,0.59,0,7.36,2.05,0.95,189390 tons,30000000.0,10000000.0,50000000.0,28550000000.0,-5.11,10400,4891000000.0,0.16,13.5,17.4,69.1,81.3,24.4,16.9,0,29,-51.6,-8.34,372200,44.2,14.3,41.6,5.24,29.9,30.7,2.6,34.9,885000000.0,1515000000.0,-4,48.9,19.26,-597290000.0,1518000000.0,1022000000.0,2.071,92.1,86.7,96,393000 kW,1022955000 kWh,0 kWh,0 kWh,90000000.0,41.9,0,50.2,0.3,1.6,0,0,6,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0,11500,0,0,0,0,17460,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,1691000.0,0 metric tonnes of CO2,1691000.0,0 metric tonnes of CO2,32901000.000000004,5,110,88,3,2,16,1670216,106830000.0,28,4,24,nan,3440 km,1686 km,1754 km,1.2
Finland,FIN,https://www.cia.gov/the-world-factbook/countries/finland/,275545000000.0,5614571,0.22,107084000000.0,1896000000.0,106664000000.0,164.0,1250.0,80.0,338145.0,16.25,60.5,23.25,62.1,25,37.1,2.7,43.2,41.7,44.8,10.3,10.4,2.3,85.8,0.42,1.05,1.05,1.03,0.79,0.97,29.5,8,2.1,2.3,1.9,82,79.1,85,1.74,0.85,85.5,100,100,100,0,0,0,9.6,4.64,3.6,100,100,100,0,0,0,22.2,8.23,3.76,1.59,1.96,0.91,21.6,26.9,16.3,nan,57.2,nan,0.1,5.9,nan,nan,nan,19,18,20,18.1,19,17.1,72.9,7.5,19.6,0.36,0,5.47,45.87,4.46,2738000.0,1000000000.0,2000000000.0,500000000.0,110000000000.0,2.1,49600,269259000000.0,2.19,2.7,28.2,69.1,54.4,22.9,22.1,0.4,38.5,-38.2,2.77,2820000.0,4,20.7,75.3,7.53,12.2,27.7,6.7,45.2,140643000000.0,153635000000.0,-0.6,61.3,19.85,1896000000.0,16744000000.0,631549000000.0,0.845,100,nan,nan,20418000.0,79356000000.0,6666000000.0,21615000000.0,2574000000.0,13.4,33.4,23.2,11.9,0.4,0,0,17.8,762000 metric tons,3552000.0,101000 metric tons,2661000.0,0 metric tons,8300,207400,0,232400,310600,166200,122200,0 cubic meters,2393000000.0,181143000.0,2569000000.0,0 cubic meters,41996000.0,9377000.0,27737000.0,4882000.0,216571000.0,4,129,93,33,3,77,13364839,957640000.0,148,74,74,nan,454000 km,nan,nan,2.5
France,FRA,https://www.cia.gov/the-world-factbook/countries/france/,3048000000000.0,68521974,0.21,892016000000.0,46341000000.0,916214000000.0,375.0,4853.0,14236.0,643801.0,18.04,60.53,21.42,63.1,28.3,34.8,2.9,42.4,40.9,44,10.9,9.9,1.1,81.8,0.67,1.05,1.05,1.01,0.78,0.96,28.9,8,3.1,3.5,2.8,82.5,79.7,85.5,1.9,0.93,nan,100,100,100,0,0,0,12.2,3.27,5.9,100,100,100,0,0,0,21.6,11.44,2.52,6.44,2.3,0.18,33.4,34.9,31.9,nan,54.8,nan,nan,5.5,nan,nan,nan,16,16,16,20.1,19.9,20.3,29.2,52.7,18.1,0.03,0,10.46,nan,55.99,33399000.0,5310000000.0,17780000000.0,3180000000.0,211000000000.0,6.82,45000,2716000000000.0,1.64,1.7,19.5,78.8,54.1,23.6,22.5,0.9,30.9,-32,6.98,31132000.0,2.8,20,77.2,8.06,13.6,32.4,3.6,25.4,1427000000000.0,1509000000000.0,-2.6,123.01,24.69,9947000000.0,244280000000.0,6356000000000.0,0.845,100,nan,nan,138611000.0,472699000000.0,64425000000.0,19613000000.0,36203000000.0,8,68.4,11.7,7.3,2.5,0,0.2,2,2312000.0,10712000.0,35000 metric tons,7891000.0,0 metric tons,81500,1688500,0,1064700,1.311,440600,886800,16226000.0,38192000000.0,9104000000.0,46110000000.0,7787000000.0,338425000.0,26971000.0,225865000.0,85589000.0,151053000.0,59,110,86,47,19,553,70188028,4443790000,464,294,170,1,1053215 km,(2011),nan,1.9
French Polynesia,PYF,https://www.cia.gov/the-world-factbook/countries/french-polynesia/,5650000000.0,301488,0.7,162000000.0,411963000.0,1660000000.0,,2525.0,10.0,4167.0,20.62,68.79,10.59,45.6,31.6,14,7.1,34.8,34.6,35.1,13.2,5.7,-0.6,62.3,0.65,1.05,1.06,1.06,0.95,1.05,nan,nan,4.3,5.2,3.4,78.7,76.4,81.1,1.8,0.88,nan,100,,,0,,,nan,nan,nan,97,,,3,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.9,35.4,43.9,43.7,12.5,43.8,nan,nan,nan,0.77,nan,147000 tons,nan,nan,nan,nan,1.02,18600,4795000000.0,0,2.5,13,84.5,66.9,33.6,19.4,0.1,17.5,-37.5,nan,130100,13,19,68,14.39,19.7,nan,nan,nan,1891000000.0,1833000000.0,1.2,nan,39.4,411963000.0,nan,nan,100.88,100,nan,nan,272000 kW,639700000.0,0 kWh,0 kWh,41000000.0,66.5,0,27.4,0,6.1,0,0,0,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0,6700,0,0,0,0,6785,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,1030000.0,0 metric tonnes of CO2,1030000.0,0 metric tonnes of CO2,0 Btu/person,36,106,72.7,23,2,19 (registered in France),nan,nan,54,45,9,1,2590 km,1735 km,855 km,nan
Gabon,GAB,https://www.cia.gov/the-world-factbook/countries/gabon/,32340000000.000004,2397368,2.39,10800000000.0,1389000000.0,5020000000.0,377.0,885.0,40.0,267667.0,35.04,60.76,4.2,67.6,61,6.5,15.3,21.8,22.2,21.3,25.9,5.6,3.6,91,2.27,1.03,1.02,1.11,1.02,1.07,19.6,227,27.7,30.6,24.7,70,68.3,71.8,3.26,1.61,31.1,97.2,55.3,93.1,2.8,44.7,6.9,3.4,0.65,6.3,81.3,55.1,78.7,18.7,44.9,21.3,15,6.47,5.31,0.62,0.5,0.04,nan,nan,nan,6.4,49.7,nan,nan,3.2,85.5,86.2,84.7,nan,nan,nan,38.4,33.7,44.4,81,19,0,2.6,0,26.29,5.32,1.13,238102 tons,80000000.0,10000000.0,40000000.0,166000000000.0,1.46,13800,16064000000.0,1.18,5,44.7,50.4,37.6,14.1,29,-0.6,46.7,-26.8,3.2,718400,64,12,24,22.26,33.4,38,2.5,32.7,3296000000.0,2937000000.0,-1.9,62.7,11.48,-725000000.0,1372000000.0,6490000000.0,554.531,91.8,26.7,98.6,784000 kW,3134000000.0,0 kWh,511000000.0,389000000.0,40.6,0,59,0,0.1,0,0,0.3,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,175000,14400,178400,0,16580,4662,10680,319102000.0,319102000.0,0 cubic meters,0 cubic meters,25995000000.0,2651000.0,0 metric tonnes of CO2,2025000.0,626000 metric tonnes of CO2,26786000.0,1,134,72,2,3,8,nan,nan,44,14,30,nan,14300 km,900 km,13400 km,1.3
Georgia,GEO,https://www.cia.gov/the-world-factbook/countries/georgia/,57434000000.0,4936390,-0.57,9546000000.0,1024999999.9999999,11162000000.0,1432.0,310.0,4330.0,69700.0,18.41,63.65,17.95,55.4,32.8,22.6,4.4,38,35.6,40.4,12.3,13.6,-4.3,60.7,0.35,1.07,1.06,0.97,0.65,0.92,25.9,28,22.6,24.3,20.8,72.3,68.3,76.6,1.96,0.95,40.6,99.4,94.3,97.3,0.6,5.7,2.7,7.6,5.11,2.9,96.3,72.7,86.7,3.7,27.3,13.3,21.7,7.45,1.71,3.19,2.52,0.02,31.7,56.3,7.1,2.1,67.1,0.3,13.9,3.6,99.6,99.7,99.5,16,16,16,28.3,27.4,29.9,39.4,35.5,25.1,0.07,0.01,19.06,10.13,6.05,800000 tons,610000000.0,340000000.0,710000000.0,63330000000.0,10.47,15500,17694000000.0,9.57,8.2,23.7,67.9,62.8,17.1,29.5,2.4,50.4,-62.2,2.4,1724000.0,55.6,8.9,35.5,10.66,19.5,34.5,2,31.3,4737000000.0,5059000000.0,-3.8,65.88,21.41,-1937000000.0,4271000000.0,18149000000.0,3.222,100,nan,nan,4579000.0,12062080000 kWh,256000000.0,1712000000.0,918200000.0,25.3,0,73.9,0.8,0,0,0,0,99000 metric tons,362000 metric tons,1000 metric tons,277000 metric tons,201000000.0,300,32400,100,0,247,2052,28490,6088000.0,2540000000.0,0 cubic meters,2535000000.0,8494999999.999999,10299000.0,1063000.0,4245000.0,4992000.0,63286000.0,9,137,76,25,4,12,516034,750000,22,18,4,2,20295 km,nan,nan,1.4
Germany,DEU,https://www.cia.gov/the-world-factbook/countries/germany/,4424000000000.0,84220184,-0.12,1816000000000.0,313754000000.0,1595000000000.0,263.0,2389.0,5056.0,357022.0,13.75,62.97,23.28,56.4,21.7,34.7,2.9,46.7,45.4,48.2,9,12,1.8,77.8,0.13,1.05,1.04,1.03,0.81,0.98,29.9,4,3.1,3.5,2.8,81.7,79.4,84.2,1.58,0.77,67,100,100,100,0,0,0,12.8,4.44,8,100,100,100,0,0,0,22.3,10.56,5.57,3.02,1.97,0,22,24.1,19.9,0.5,54.4,nan,nan,4.7,nan,nan,nan,17,17,17,7,7.2,6.6,31.8,48,20.2,0.03,0.02,10.73,727.97,49.92,51046000.0,10400000000.0,17680000000.0,400000000.0,154000000000.0,2.63,53200,3860923000000,3.14,0.7,30.7,68.6,53.1,19.5,20.4,-0.5,47.3,-39.7,3.61,43968000.0,1.4,24.2,74.3,3.54,14.8,31.7,3.6,24,1785000000000.0,1945000000000.0,1.3,63.9,10.55,313754000000.0,295736000000.0,5671463000000,0.845,100,nan,nan,248265000.0,500350000000.0,66931000000.0,48047000000.0,25970000000.0,40.5,11.1,4.5,23.9,9.2,0,0.2,10.4,114860000.0,145379000.0,2317000.0,31503000.0,35900000000.0,135000,2346500,0,1720600,2.158,494000,883800,5129000000.0,8755000000.0,0 cubic meters,83120000000.0,23390000000.0,726881000.0,218636000.0,316064000.0,192181000.0,161174000.0,46,128,91,43,20,"1,113",109796202,7969860000,539,318,221,23,830000 km,830000 km,nan,1.6
